sensor_id,timestamp,room_id,occupancy_count,power_kw,temperature_c,source_system,day_of_week,hour,is_weekend,lag_1h,lag_24h,rolling_3h,capacity,cost_per_hour,utilization,expected_occupancy,anomaly_label,data_source,fusion_key,record_quality
SENS_R001,2026-08-22 06:00:00,R001,0,0.76,23.37,IoT,5,6,1,,,0.0,40,164.91,0.0,4.8,0,IoT+ERP,ROOM:R001|2026082206,0.85
SENS_R001,2026-08-22 07:00:00,R001,2,1.18,24.15,IoT,5,7,1,0.0,,1.0,40,164.91,0.05,4.8,0,IoT+ERP,ROOM:R001|2026082207,0.85
SENS_R001,2026-08-22 08:00:00,R001,12,1.93,25.07,IoT,5,8,1,2.0,,4.666666666666667,40,164.91,0.3,4.8,0,IoT+ERP,ROOM:R001|2026082208,0.85
SENS_R001,2026-08-22 09:00:00,R001,5,1.37,24.81,IoT,5,9,1,12.0,,6.333333333333333,40,164.91,0.125,4.8,0,IoT+ERP,ROOM:R001|2026082209,0.85
SENS_R001,2026-08-22 10:00:00,R001,2,0.65,23.41,IoT,5,10,1,5.0,,6.333333333333333,40,164.91,0.05,4.8,0,IoT+ERP,ROOM:R001|2026082210,0.85
SENS_R001,2026-08-22 11:00:00,R001,3,1.12,23.97,IoT,5,11,1,2.0,,3.3333333333333335,40,164.91,0.075,4.8,0,IoT+ERP,ROOM:R001|2026082211,0.85
SENS_R001,2026-08-22 12:00:00,R001,8,0.91,24.02,IoT,5,12,1,3.0,,4.333333333333333,40,164.91,0.2,4.8,0,IoT+ERP,ROOM:R001|2026082212,0.85
SENS_R001,2026-08-22 13:00:00,R001,1,1.17,25.44,IoT,5,13,1,8.0,,4.0,40,164.91,0.025,4.8,0,IoT+ERP,ROOM:R001|2026082213,0.85
SENS_R001,2026-08-22 14:00:00,R001,10,1.87,23.45,IoT,5,14,1,1.0,,6.333333333333333,40,164.91,0.25,4.8,0,IoT+ERP,ROOM:R001|2026082214,0.85
SENS_R001,2026-08-22 15:00:00,R001,10,1.5,24.86,IoT,5,15,1,10.0,,7.0,40,164.91,0.25,4.8,0,IoT+ERP,ROOM:R001|2026082215,0.85
SENS_R001,2026-08-22 16:00:00,R001,5,1.43,24.63,IoT,5,16,1,10.0,,8.333333333333334,40,164.91,0.125,4.8,0,IoT+ERP,ROOM:R001|2026082216,0.85
SENS_R001,2026-08-22 17:00:00,R001,2,0.87,24.18,IoT,5,17,1,5.0,,5.666666666666667,40,164.91,0.05,4.8,0,IoT+ERP,ROOM:R001|2026082217,0.85
SENS_R001,2026-08-22 18:00:00,R001,6,1.22,23.88,IoT,5,18,1,2.0,,4.333333333333333,40,164.91,0.15,4.8,0,IoT+ERP,ROOM:R001|2026082218,0.85
SENS_R001,2026-08-22 19:00:00,R001,13,2.03,24.99,IoT,5,19,1,6.0,,7.0,40,164.91,0.325,4.8,0,IoT+ERP,ROOM:R001|2026082219,0.85
