outcome_id,recommendation_id,executed_at,predicted_utilization,actual_utilization,absolute_error,execution_success,human_approved,observed_cost
OUT_0001,REC_0001,2026-09-10T01:00:00,0.784,0.672,0.112,True,False,94.49
OUT_0002,REC_0002,2026-09-10T02:00:00,0.806,0.789,0.017,True,True,75.62
OUT_0003,REC_0003,2026-09-10T03:00:00,0.769,0.739,0.03,True,False,145.85
OUT_0004,REC_0004,2026-09-10T04:00:00,0.746,0.803,0.057,True,True,97.39
OUT_0005,REC_0005,2026-09-10T05:00:00,0.753,0.787,0.034,True,True,97.14
OUT_0006,REC_0006,2026-09-10T06:00:00,0.957,0.949,0.008,True,True,169.0
OUT_0007,REC_0007,2026-09-10T07:00:00,0.957,0.865,0.092,True,False,127.37
OUT_0008,REC_0008,2026-09-10T08:00:00,0.717,0.73,0.013,True,True,99.29
OUT_0009,REC_0009,2026-09-10T09:00:00,0.922,0.961,0.039,True,False,116.38
OUT_0010,REC_0010,2026-09-10T10:00:00,0.798,0.777,0.021,True,False,88.42
OUT_0011,REC_0011,2026-09-10T11:00:00,0.954,0.934,0.02,True,True,82.66
OUT_0012,REC_0012,2026-09-10T12:00:00,0.711,0.577,0.134,True,True,103.92
OUT_0013,REC_0013,2026-09-10T13:00:00,0.923,0.961,0.038,True,True,93.77
OUT_0014,REC_0014,2026-09-10T14:00:00,0.945,0.838,0.107,True,True,84.17
OUT_0015,REC_0015,2026-09-10T15:00:00,0.805,0.753,0.052,True,True,175.96
OUT_0016,REC_0016,2026-09-10T16:00:00,0.922,0.936,0.014,True,True,42.51
OUT_0017,REC_0017,2026-09-10T17:00:00,0.841,0.79,0.051,True,True,66.85
OUT_0018,REC_0018,2026-09-10T18:00:00,0.799,0.722,0.077,True,True,153.16
OUT_0019,REC_0019,2026-09-10T19:00:00,0.917,0.945,0.028,True,False,88.33
OUT_0020,REC_0020,2026-09-10T20:00:00,0.814,0.789,0.025,True,True,168.19
OUT_0021,REC_0021,2026-09-10T21:00:00,0.967,0.971,0.004,True,True,111.86
OUT_0022,REC_0022,2026-09-10T22:00:00,0.77,0.825,0.055,False,True,49.18
OUT_0023,REC_0023,2026-09-10T23:00:00,0.816,0.822,0.006,True,True,145.26
OUT_0024,REC_0024,2026-09-11T00:00:00,0.921,0.829,0.092,True,True,62.55
OUT_0025,REC_0025,2026-09-11T01:00:00,0.863,0.827,0.036,True,False,161.5
OUT_0026,REC_0026,2026-09-11T02:00:00,0.887,0.826,0.061,False,True,70.66
OUT_0027,REC_0027,2026-09-11T03:00:00,0.857,0.818,0.039,True,False,46.64
OUT_0028,REC_0028,2026-09-11T04:00:00,0.832,0.815,0.017,True,True,117.58
OUT_0029,REC_0029,2026-09-11T05:00:00,0.925,1.0,0.075,True,False,164.84
OUT_0030,REC_0030,2026-09-11T06:00:00,0.711,0.669,0.042,True,False,40.06
OUT_0031,REC_0031,2026-09-11T07:00:00,0.925,0.859,0.066,True,True,123.69
