date,time_slot,department,course_count,student_demand,exam_period,semester,source_system
2026-09-21,09:00-10:00,CSE,10,32,0,2026-FALL,LMS
2026-09-21,09:00-10:00,ECE,13,38,0,2026-FALL,LMS
2026-09-21,09:00-10:00,EEE,7,19,0,2026-FALL,LMS
2026-09-21,09:00-10:00,ME,16,41,0,2026-FALL,LMS
2026-09-21,09:00-10:00,CE,20,83,0,2026-FALL,LMS
2026-09-21,09:00-10:00,AI-DS,15,14,0,2026-FALL,LMS
2026-09-21,09:00-10:00,MBA,19,57,0,2026-FALL,LMS
2026-09-21,10:00-11:00,CSE,10,64,0,2026-FALL,LMS
2026-09-21,10:00-11:00,ECE,13,56,0,2026-FALL,LMS
2026-09-21,10:00-11:00,EEE,7,75,0,2026-FALL,LMS
2026-09-21,10:00-11:00,ME,16,64,0,2026-FALL,LMS
2026-09-21,10:00-11:00,CE,20,58,0,2026-FALL,LMS
2026-09-21,10:00-11:00,AI-DS,15,65,0,2026-FALL,LMS
2026-09-21,10:00-11:00,MBA,19,64,0,2026-FALL,LMS
2026-09-21,11:00-12:00,CSE,10,38,0,2026-FALL,LMS
2026-09-21,11:00-12:00,ECE,13,57,0,2026-FALL,LMS
2026-09-21,11:00-12:00,EEE,7,39,0,2026-FALL,LMS
2026-09-21,11:00-12:00,ME,16,18,0,2026-FALL,LMS
2026-09-21,11:00-12:00,CE,20,81,0,2026-FALL,LMS
2026-09-21,11:00-12:00,AI-DS,15,33,0,2026-FALL,LMS
2026-09-21,11:00-12:00,MBA,19,66,0,2026-FALL,LMS
2026-09-21,12:00-13:00,CSE,10,55,0,2026-FALL,LMS
2026-09-21,12:00-13:00,ECE,13,27,0,2026-FALL,LMS
2026-09-21,12:00-13:00,EEE,7,29,0,2026-FALL,LMS
2026-09-21,12:00-13:00,ME,16,52,0,2026-FALL,LMS
2026-09-21,12:00-13:00,CE,20,52,0,2026-FALL,LMS
2026-09-21,12:00-13:00,AI-DS,15,37,0,2026-FALL,LMS
2026-09-21,12:00-13:00,MBA,19,13,0,2026-FALL,LMS
2026-09-21,14:00-15:00,CSE,10,61,0,2026-FALL,LMS
2026-09-21,14:00-15:00,ECE,13,10,0,2026-FALL,LMS
2026-09-21,14:00-15:00,EEE,7,51,0,2026-FALL,LMS
2026-09-21,14:00-15:00,ME,16,67,0,2026-FALL,LMS
2026-09-21,14:00-15:00,CE,20,10,0,2026-FALL,LMS
2026-09-21,14:00-15:00,AI-DS,15,48,0,2026-FALL,LMS
2026-09-21,14:00-15:00,MBA,19,37,0,2026-FALL,LMS
2026-09-21,15:00-16:00,CSE,10,48,0,2026-FALL,LMS
2026-09-21,15:00-16:00,ECE,13,64,0,2026-FALL,LMS
2026-09-21,15:00-16:00,EEE,7,18,0,2026-FALL,LMS
2026-09-21,15:00-16:00,ME,16,40,0,2026-FALL,LMS
2026-09-21,15:00-16:00,CE,20,41,0,2026-FALL,LMS
2026-09-21,15:00-16:00,AI-DS,15,10,0,2026-FALL,LMS
2026-09-21,15:00-16:00,MBA,19,56,0,2026-FALL,LMS
2026-09-21,16:00-17:00,CSE,10,77,0,2026-FALL,LMS
2026-09-21,16:00-17:00,ECE,13,58,0,2026-FALL,LMS
2026-09-21,16:00-17:00,EEE,7,47,0,2026-FALL,LMS
2026-09-21,16:00-17:00,ME,16,62,0,2026-FALL,LMS
2026-09-21,16:00-17:00,CE,20,33,0,2026-FALL,LMS
2026-09-21,16:00-17:00,AI-DS,15,27,0,2026-FALL,LMS
2026-09-21,16:00-17:00,MBA,19,55,0,2026-FALL,LMS
2026-09-21,17:00-18:00,CSE,10,49,0,2026-FALL,LMS
2026-09-21,17:00-18:00,ECE,13,51,0,2026-FALL,LMS
2026-09-21,17:00-18:00,EEE,7,27,0,2026-FALL,LMS
2026-09-21,17:00-18:00,ME,16,14,0,2026-FALL,LMS
2026-09-21,17:00-18:00,CE,20,24,0,2026-FALL,LMS
2026-09-21,17:00-18:00,AI-DS,15,27,0,2026-FALL,LMS
2026-09-21,17:00-18:00,MBA,19,10,0,2026-FALL,LMS
2026-09-22,09:00-10:00,CSE,10,54,0,2026-FALL,LMS
2026-09-22,09:00-10:00,ECE,13,19,0,2026-FALL,LMS
2026-09-22,09:00-10:00,EEE,7,18,0,2026-FALL,LMS
2026-09-22,09:00-10:00,ME,16,39,0,2026-FALL,LMS
2026-09-22,09:00-10:00,CE,20,26,0,2026-FALL,LMS
2026-09-22,09:00-10:00,AI-DS,15,13,0,2026-FALL,LMS
2026-09-22,09:00-10:00,MBA,19,15,0,2026-FALL,LMS
2026-09-22,10:00-11:00,CSE,10,55,0,2026-FALL,LMS
2026-09-22,10:00-11:00,ECE,13,38,0,2026-FALL,LMS
2026-09-22,10:00-11:00,EEE,7,14,0,2026-FALL,LMS
2026-09-22,10:00-11:00,ME,16,74,0,2026-FALL,LMS
2026-09-22,10:00-11:00,CE,20,30,0,2026-FALL,LMS
2026-09-22,10:00-11:00,AI-DS,15,55,0,2026-FALL,LMS
2026-09-22,10:00-11:00,MBA,19,42,0,2026-FALL,LMS
2026-09-22,11:00-12:00,CSE,10,46,0,2026-FALL,LMS
2026-09-22,11:00-12:00,ECE,13,45,0,2026-FALL,LMS
2026-09-22,11:00-12:00,EEE,7,17,0,2026-FALL,LMS
2026-09-22,11:00-12:00,ME,16,89,0,2026-FALL,LMS
2026-09-22,11:00-12:00,CE,20,29,0,2026-FALL,LMS
