event_id,timestamp,resource_id,event_type,old_state,new_state,source_system,event_confidence
EVT_00001,2026-09-01T20:00:00,ROOM_R027,occupancy_update,occupied,reserved,IoT,0.835
EVT_00002,2026-09-18T03:00:00,ROOM_R025,maintenance_started,available,occupied,LMS,0.954
EVT_00003,2026-09-08T17:00:00,ROOM_R004,maintenance_completed,occupied,reserved,LMS,0.984
EVT_00004,2026-09-13T14:00:00,ROOM_R030,booking_cancelled,reserved,maintenance,IoT,0.898
EVT_00005,2026-09-04T02:00:00,ROOM_R004,occupancy_update,occupied,available,LMS,0.966
EVT_00006,2026-09-06T09:00:00,ROOM_R028,booking_cancelled,reserved,maintenance,ERP,0.879
EVT_00007,2026-09-04T08:00:00,ROOM_R023,booking_cancelled,reserved,occupied,IoT,0.972
EVT_00008,2026-09-15T03:00:00,ROOM_R026,booking_created,occupied,reserved,IoT,0.88
EVT_00009,2026-09-10T22:00:00,ROOM_R012,maintenance_completed,occupied,available,LMS,0.873
EVT_00010,2026-09-06T08:00:00,ROOM_R021,booking_created,occupied,occupied,LMS,0.994
EVT_00011,2026-09-04T19:00:00,ROOM_R008,occupancy_update,reserved,maintenance,ERP,0.872
EVT_00012,2026-09-10T10:00:00,ROOM_R016,occupancy_update,reserved,occupied,LMS,0.82
EVT_00013,2026-09-01T08:00:00,ROOM_R013,occupancy_update,reserved,occupied,LMS,0.823
EVT_00014,2026-09-03T06:00:00,ROOM_R025,maintenance_completed,occupied,maintenance,OpsLog,0.97
EVT_00015,2026-09-17T18:00:00,ROOM_R027,maintenance_started,occupied,reserved,LMS,0.852
EVT_00016,2026-09-16T21:00:00,ROOM_R016,maintenance_completed,available,maintenance,LMS,0.931
EVT_00017,2026-09-01T22:00:00,ROOM_R030,booking_cancelled,reserved,maintenance,LMS,0.826
EVT_00018,2026-09-13T08:00:00,ROOM_R030,maintenance_started,occupied,maintenance,OpsLog,0.956
EVT_00019,2026-09-10T07:00:00,ROOM_R006,maintenance_completed,occupied,available,LMS,0.991
EVT_00020,2026-09-16T03:00:00,ROOM_R020,maintenance_started,reserved,reserved,IoT,0.983
EVT_00021,2026-09-14T14:00:00,ROOM_R002,booking_cancelled,reserved,maintenance,IoT,0.997
EVT_00022,2026-09-07T08:00:00,ROOM_R027,maintenance_completed,occupied,reserved,ERP,0.935
EVT_00023,2026-09-19T02:00:00,ROOM_R009,booking_cancelled,occupied,reserved,OpsLog,0.903
EVT_00024,2026-09-03T12:00:00,ROOM_R008,maintenance_started,available,reserved,LMS,0.866
EVT_00025,2026-09-10T22:00:00,ROOM_R017,maintenance_completed,available,occupied,OpsLog,0.959
EVT_00026,2026-09-04T02:00:00,ROOM_R030,booking_created,occupied,maintenance,OpsLog,0.993
EVT_00027,2026-09-06T11:00:00,ROOM_R025,maintenance_completed,reserved,reserved,LMS,0.91
EVT_00028,2026-09-07T12:00:00,ROOM_R025,maintenance_completed,occupied,maintenance,ERP,0.882
EVT_00029,2026-09-06T20:00:00,ROOM_R021,occupancy_update,available,available,IoT,0.848
EVT_00030,2026-09-03T03:00:00,ROOM_R028,booking_cancelled,available,maintenance,OpsLog,0.879
EVT_00031,2026-09-19T03:00:00,ROOM_R029,maintenance_completed,occupied,reserved,LMS,0.92
EVT_00032,2026-09-12T19:00:00,ROOM_R006,booking_created,available,occupied,ERP,0.962
EVT_00033,2026-09-08T02:00:00,ROOM_R024,booking_created,available,reserved,OpsLog,0.895
EVT_00034,2026-09-18T06:00:00,ROOM_R006,booking_created,reserved,maintenance,ERP,0.959
EVT_00035,2026-09-15T07:00:00,ROOM_R012,booking_cancelled,reserved,occupied,IoT,0.995
EVT_00036,2026-09-05T17:00:00,ROOM_R027,maintenance_completed,reserved,available,IoT,0.856
EVT_00037,2026-09-18T06:00:00,ROOM_R021,maintenance_started,reserved,maintenance,IoT,0.963
EVT_00038,2026-09-02T15:00:00,ROOM_R029,booking_cancelled,reserved,maintenance,OpsLog,0.995
EVT_00039,2026-09-03T02:00:00,ROOM_R030,booking_cancelled,available,available,IoT,0.884
EVT_00040,2026-09-17T11:00:00,ROOM_R017,occupancy_update,reserved,maintenance,LMS,0.858
EVT_00041,2026-09-08T13:00:00,ROOM_R008,maintenance_completed,occupied,occupied,IoT,0.84
EVT_00042,2026-09-12T15:00:00,ROOM_R015,maintenance_started,occupied,available,IoT,0.888
EVT_00043,2026-09-13T19:00:00,ROOM_R015,booking_cancelled,available,reserved,OpsLog,0.968
EVT_00044,2026-09-13T22:00:00,ROOM_R025,booking_created,available,reserved,IoT,0.827
EVT_00045,2026-09-13T21:00:00,ROOM_R018,occupancy_update,available,available,ERP,0.873
EVT_00046,2026-09-01T07:00:00,ROOM_R002,booking_created,occupied,maintenance,LMS,0.845
EVT_00047,2026-09-01T07:00:00,ROOM_R022,maintenance_started,occupied,maintenance,ERP,0.846
EVT_00048,2026-09-14T17:00:00,ROOM_R014,booking_created,reserved,available,LMS,0.889
EVT_00049,2026-09-05T05:00:00,ROOM_R030,booking_created,occupied,maintenance,OpsLog,0.953
EVT_00050,2026-09-15T19:00:00,ROOM_R021,occupancy_update,available,reserved,LMS,0.834
EVT_00051,2026-09-02T07:00:00,ROOM_R015,booking_cancelled,available,maintenance,IoT,0.87
EVT_00052,2026-09-06T16:00:00,ROOM_R028,booking_created,occupied,reserved,LMS,0.927
EVT_00053,2026-09-01T15:00:00,ROOM_R026,maintenance_started,reserved,reserved,OpsLog,0.98
EVT_00054,2026-09-07T00:00:00,ROOM_R007,maintenance_completed,reserved,occupied,IoT,0.894
EVT_00055,2026-09-07T09:00:00,ROOM_R023,booking_created,reserved,reserved,ERP,0.977
EVT_00056,2026-09-08T14:00:00,ROOM_R018,booking_cancelled,reserved,maintenance,ERP,0.864
EVT_00057,2026-09-17T20:00:00,ROOM_R019,booking_cancelled,occupied,reserved,LMS,0.963
EVT_00058,2026-09-13T13:00:00,ROOM_R016,booking_created,reserved,reserved,ERP,0.967
EVT_00059,2026-09-10T18:00:00,ROOM_R030,maintenance_completed,reserved,occupied,LMS,0.987
EVT_00060,2026-09-07T03:00:00,ROOM_R011,booking_cancelled,reserved,reserved,IoT,0.951
EVT_00061,2026-09-06T23:00:00,ROOM_R005,occupancy_update,available,available,IoT,0.874
EVT_00062,2026-09-13T14:00:00,ROOM_R020,maintenance_started,available,available,OpsLog,0.9
EVT_00063,2026-09-07T20:00:00,ROOM_R026,booking_cancelled,occupied,occupied,IoT,0.95
EVT_00064,2026-09-10T09:00:00,ROOM_R023,maintenance_completed,reserved,maintenance,OpsLog,0.988
EVT_00065,2026-09-16T20:00:00,ROOM_R014,maintenance_completed,available,occupied,LMS,0.922
EVT_00066,2026-09-18T02:00:00,ROOM_R008,occupancy_update,available,occupied,ERP,0.953
EVT_00067,2026-09-05T04:00:00,ROOM_R020,booking_cancelled,reserved,occupied,ERP,0.892
EVT_00068,2026-09-05T09:00:00,ROOM_R015,maintenance_started,reserved,occupied,IoT,0.852
EVT_00069,2026-09-08T15:00:00,ROOM_R006,booking_cancelled,occupied,maintenance,IoT,0.842
EVT_00070,2026-09-03T00:00:00,ROOM_R024,occupancy_update,available,maintenance,ERP,0.842
EVT_00071,2026-09-06T01:00:00,ROOM_R022,booking_created,occupied,occupied,OpsLog,0.846
EVT_00072,2026-09-07T06:00:00,ROOM_R027,maintenance_completed,reserved,occupied,IoT,0.881
EVT_00073,2026-09-08T05:00:00,ROOM_R014,maintenance_completed,occupied,reserved,LMS,0.92
EVT_00074,2026-09-19T21:00:00,ROOM_R018,maintenance_started,available,maintenance,IoT,0.862
EVT_00075,2026-09-15T14:00:00,ROOM_R029,maintenance_completed,available,reserved,IoT,0.984
EVT_00076,2026-09-08T11:00:00,ROOM_R026,booking_cancelled,reserved,occupied,ERP,0.898
EVT_00077,2026-09-16T09:00:00,ROOM_R030,maintenance_started,available,maintenance,ERP,0.856
EVT_00078,2026-09-17T14:00:00,ROOM_R007,occupancy_update,occupied,available,LMS,0.82
EVT_00079,2026-09-13T18:00:00,ROOM_R020,booking_created,reserved,maintenance,OpsLog,0.921
EVT_00080,2026-09-04T06:00:00,ROOM_R022,maintenance_started,occupied,reserved,IoT,0.877
EVT_00081,2026-09-09T11:00:00,ROOM_R022,maintenance_started,available,available,OpsLog,0.975
EVT_00082,2026-09-16T23:00:00,ROOM_R012,occupancy_update,occupied,maintenance,IoT,0.943
EVT_00083,2026-09-14T16:00:00,ROOM_R005,maintenance_completed,occupied,maintenance,ERP,0.922
EVT_00084,2026-09-06T20:00:00,ROOM_R010,occupancy_update,occupied,reserved,LMS,0.857
EVT_00085,2026-09-17T08:00:00,ROOM_R029,occupancy_update,available,reserved,OpsLog,0.956
EVT_00086,2026-09-16T02:00:00,ROOM_R018,booking_cancelled,occupied,available,LMS,0.89
EVT_00087,2026-09-18T23:00:00,ROOM_R005,occupancy_update,reserved,available,OpsLog,0.949
EVT_00088,2026-09-15T00:00:00,ROOM_R026,occupancy_update,reserved,occupied,OpsLog,0.865
EVT_00089,2026-09-05T22:00:00,ROOM_R022,booking_cancelled,reserved,available,ERP,0.976
EVT_00090,2026-09-04T02:00:00,ROOM_R020,occupancy_update,occupied,reserved,OpsLog,0.837
EVT_00091,2026-09-15T19:00:00,ROOM_R029,occupancy_update,occupied,occupied,OpsLog,0.834
EVT_00092,2026-09-15T07:00:00,ROOM_R010,maintenance_completed,occupied,reserved,ERP,0.875
EVT_00093,2026-09-19T13:00:00,ROOM_R007,occupancy_update,available,maintenance,ERP,0.961
EVT_00094,2026-09-18T09:00:00,ROOM_R022,maintenance_started,reserved,maintenance,OpsLog,0.986
EVT_00095,2026-09-03T14:00:00,ROOM_R021,booking_cancelled,occupied,reserved,IoT,0.91
EVT_00096,2026-09-03T01:00:00,ROOM_R013,booking_created,available,occupied,ERP,0.86
EVT_00097,2026-09-17T18:00:00,ROOM_R029,booking_created,reserved,maintenance,LMS,0.827
EVT_00098,2026-09-10T17:00:00,ROOM_R024,booking_cancelled,occupied,maintenance,OpsLog,0.977
EVT_00099,2026-09-10T16:00:00,ROOM_R002,booking_created,occupied,available,OpsLog,0.949
EVT_00100,2026-09-09T03:00:00,ROOM_R014,maintenance_started,available,maintenance,ERP,0.823
EVT_00101,2026-09-08T16:00:00,ROOM_R023,booking_created,occupied,available,IoT,0.896
EVT_00102,2026-09-14T03:00:00,ROOM_R014,booking_cancelled,occupied,occupied,LMS,0.889
EVT_00103,2026-09-06T10:00:00,ROOM_R016,booking_cancelled,available,reserved,IoT,0.853
EVT_00104,2026-09-06T19:00:00,ROOM_R001,booking_cancelled,available,maintenance,ERP,0.913
EVT_00105,2026-09-05T11:00:00,ROOM_R011,maintenance_completed,occupied,available,IoT,0.821
EVT_00106,2026-09-02T10:00:00,ROOM_R018,booking_created,available,maintenance,IoT,0.89
EVT_00107,2026-09-05T14:00:00,ROOM_R017,maintenance_completed,available,occupied,LMS,0.906
EVT_00108,2026-09-13T01:00:00,ROOM_R004,maintenance_completed,reserved,occupied,IoT,0.992
EVT_00109,2026-09-12T09:00:00,ROOM_R016,maintenance_completed,available,available,OpsLog,0.88
EVT_00110,2026-09-03T01:00:00,ROOM_R028,maintenance_completed,available,maintenance,ERP,0.902
EVT_00111,2026-09-16T21:00:00,ROOM_R001,occupancy_update,reserved,available,OpsLog,0.948
EVT_00112,2026-09-15T14:00:00,ROOM_R027,booking_cancelled,reserved,occupied,LMS,0.894
EVT_00113,2026-09-07T12:00:00,ROOM_R020,occupancy_update,occupied,occupied,LMS,0.85
EVT_00114,2026-09-03T06:00:00,ROOM_R030,maintenance_started,occupied,reserved,IoT,0.908
EVT_00115,2026-09-11T10:00:00,ROOM_R007,occupancy_update,available,available,OpsLog,0.982
EVT_00116,2026-09-13T03:00:00,ROOM_R008,occupancy_update,available,reserved,LMS,0.948
EVT_00117,2026-09-17T22:00:00,ROOM_R024,maintenance_started,reserved,maintenance,LMS,0.961
EVT_00118,2026-09-08T08:00:00,ROOM_R011,maintenance_completed,available,maintenance,OpsLog,0.939
EVT_00119,2026-09-02T08:00:00,ROOM_R003,maintenance_completed,available,reserved,OpsLog,0.956
EVT_00120,2026-09-10T01:00:00,ROOM_R021,booking_cancelled,available,maintenance,LMS,0.927
EVT_00121,2026-09-10T17:00:00,ROOM_R006,maintenance_started,available,reserved,ERP,0.916
EVT_00122,2026-09-05T03:00:00,ROOM_R014,booking_created,reserved,available,LMS,0.872
EVT_00123,2026-09-05T23:00:00,ROOM_R026,booking_cancelled,available,occupied,LMS,0.871
EVT_00124,2026-09-01T06:00:00,ROOM_R023,maintenance_started,occupied,maintenance,OpsLog,0.879
EVT_00125,2026-09-07T10:00:00,ROOM_R021,booking_cancelled,occupied,reserved,ERP,0.948
EVT_00126,2026-09-12T11:00:00,ROOM_R005,occupancy_update,reserved,maintenance,LMS,0.931
EVT_00127,2026-09-12T21:00:00,ROOM_R022,booking_created,available,occupied,ERP,0.983
EVT_00128,2026-09-11T21:00:00,ROOM_R018,maintenance_started,occupied,reserved,IoT,0.982
EVT_00129,2026-09-08T11:00:00,ROOM_R002,booking_created,available,reserved,IoT,0.857
EVT_00130,2026-09-17T07:00:00,ROOM_R022,maintenance_started,occupied,available,OpsLog,0.878
EVT_00131,2026-09-09T22:00:00,ROOM_R020,maintenance_completed,occupied,occupied,OpsLog,0.962
EVT_00132,2026-09-07T06:00:00,ROOM_R016,maintenance_started,available,occupied,ERP,0.836
EVT_00133,2026-09-08T05:00:00,ROOM_R024,booking_created,reserved,occupied,ERP,0.976
EVT_00134,2026-09-02T20:00:00,ROOM_R001,maintenance_started,occupied,maintenance,LMS,0.93
EVT_00135,2026-09-16T11:00:00,ROOM_R020,maintenance_started,occupied,maintenance,ERP,0.896
EVT_00136,2026-09-04T08:00:00,ROOM_R023,occupancy_update,occupied,maintenance,IoT,0.976
EVT_00137,2026-09-20T00:00:00,ROOM_R020,booking_created,available,maintenance,OpsLog,0.974
EVT_00138,2026-09-11T09:00:00,ROOM_R015,booking_cancelled,occupied,available,IoT,0.975
EVT_00139,2026-09-15T14:00:00,ROOM_R018,booking_cancelled,available,maintenance,IoT,0.955
EVT_00140,2026-09-17T06:00:00,ROOM_R004,maintenance_completed,available,available,IoT,0.859
EVT_00141,2026-09-06T20:00:00,ROOM_R002,maintenance_completed,reserved,occupied,ERP,0.953
EVT_00142,2026-09-11T21:00:00,ROOM_R006,maintenance_started,reserved,available,OpsLog,0.856
EVT_00143,2026-09-16T13:00:00,ROOM_R030,booking_created,available,occupied,IoT,0.94
EVT_00144,2026-09-10T07:00:00,ROOM_R013,maintenance_started,occupied,maintenance,ERP,0.837
EVT_00145,2026-09-11T16:00:00,ROOM_R030,booking_cancelled,occupied,maintenance,OpsLog,0.915
EVT_00146,2026-09-11T22:00:00,ROOM_R010,booking_cancelled,reserved,maintenance,ERP,0.904
EVT_00147,2026-09-13T09:00:00,ROOM_R016,occupancy_update,available,reserved,IoT,0.902
EVT_00148,2026-09-13T20:00:00,ROOM_R027,booking_cancelled,occupied,available,IoT,0.988
EVT_00149,2026-09-13T13:00:00,ROOM_R023,booking_created,available,reserved,IoT,0.824
EVT_00150,2026-09-19T08:00:00,ROOM_R021,booking_created,available,maintenance,OpsLog,0.891
EVT_00151,2026-09-19T06:00:00,ROOM_R014,maintenance_completed,reserved,reserved,LMS,0.823
EVT_00152,2026-09-05T21:00:00,ROOM_R006,maintenance_started,occupied,available,LMS,0.999
EVT_00153,2026-09-19T17:00:00,ROOM_R011,booking_created,occupied,available,IoT,0.869
EVT_00154,2026-09-04T14:00:00,ROOM_R002,maintenance_started,occupied,reserved,IoT,1.0
EVT_00155,2026-09-05T18:00:00,ROOM_R007,booking_cancelled,available,reserved,ERP,0.906
EVT_00156,2026-09-02T03:00:00,ROOM_R008,maintenance_completed,occupied,available,IoT,0.917
EVT_00157,2026-09-17T18:00:00,ROOM_R021,maintenance_completed,available,maintenance,IoT,0.874
EVT_00158,2026-09-07T18:00:00,ROOM_R007,maintenance_completed,occupied,maintenance,OpsLog,0.833
EVT_00159,2026-09-15T19:00:00,ROOM_R025,maintenance_completed,occupied,maintenance,OpsLog,0.888
EVT_00160,2026-09-03T10:00:00,ROOM_R021,booking_created,occupied,reserved,ERP,0.893
EVT_00161,2026-09-02T10:00:00,ROOM_R009,booking_created,available,reserved,LMS,0.988
EVT_00162,2026-09-11T22:00:00,ROOM_R021,booking_created,reserved,reserved,ERP,0.864
EVT_00163,2026-09-02T09:00:00,ROOM_R006,occupancy_update,available,reserved,IoT,0.876
EVT_00164,2026-09-17T14:00:00,ROOM_R001,booking_created,occupied,available,OpsLog,0.826
EVT_00165,2026-09-09T15:00:00,ROOM_R023,booking_cancelled,available,occupied,OpsLog,0.95
EVT_00166,2026-09-05T15:00:00,ROOM_R003,booking_created,occupied,occupied,ERP,0.831
EVT_00167,2026-09-19T20:00:00,ROOM_R021,maintenance_started,available,maintenance,OpsLog,0.849
EVT_00168,2026-09-02T14:00:00,ROOM_R025,maintenance_started,occupied,reserved,LMS,0.993
EVT_00169,2026-09-14T16:00:00,ROOM_R020,booking_created,available,available,IoT,0.909
EVT_00170,2026-09-11T13:00:00,ROOM_R029,booking_cancelled,reserved,occupied,IoT,0.948
