scenario_id,course_id,candidate_room_id,student_demand,room_capacity,capacity_slack,equipment_feasible,room_cost_per_hour,estimated_distance_m,schedule_conflict,faculty_available,feasible,allocation_score
SCN_C001,C001,R018,34,100,66,True,177.94,542,False,True,True,73.263
SCN_C001,C001,R022,34,70,36,True,70.83,288,True,True,False,10030.766
SCN_C001,C001,R011,34,100,66,True,77.08,391,False,True,True,37.66
SCN_C001,C001,R020,34,60,26,True,124.92,463,False,True,True,48.548
SCN_C001,C001,R015,34,40,6,True,62.14,317,False,True,True,23.283
SCN_C002,C002,R027,72,150,78,False,50.55,277,False,True,False,10029.946
SCN_C002,C002,R008,72,100,28,False,135.7,340,False,True,False,10052.375
SCN_C002,C002,R011,72,100,28,False,77.08,208,False,True,False,10031.594
SCN_C002,C002,R002,72,120,48,True,118.57,499,False,True,True,49.697
SCN_C002,C002,R018,72,100,28,True,177.94,58,False,True,True,66.595
SCN_C003,C003,R013,71,150,79,True,135.27,426,False,True,True,60.046
SCN_C003,C003,R008,71,100,29,True,135.7,245,False,True,True,52.335
SCN_C003,C003,R003,71,120,49,True,152.81,547,False,True,True,61.928
SCN_C003,C003,R004,71,100,29,True,93.19,258,False,True,True,37.482
SCN_C003,C003,R030,71,80,9,True,175.62,301,False,True,True,63.419
SCN_C004,C004,R027,112,150,38,False,50.55,70,True,True,False,10023.532
SCN_C004,C004,R029,112,150,38,False,94.66,467,False,False,False,10039.765
SCN_C004,C004,R025,112,120,8,True,105.38,543,False,True,True,39.169
SCN_C004,C004,R002,112,120,8,True,118.57,345,True,True,False,10043.39
SCN_C004,C004,R003,112,120,8,False,152.81,487,False,True,False,10055.658
SCN_C005,C005,R027,44,150,106,False,50.55,64,False,True,False,10033.72
SCN_C005,C005,R024,44,70,26,False,74.02,277,False,True,False,10030.361
SCN_C005,C005,R004,44,100,56,False,93.19,586,False,True,False,10042.188
SCN_C005,C005,R014,44,50,6,True,75.2,122,False,True,True,27.464
SCN_C005,C005,R025,44,120,76,True,105.38,244,False,True,True,48.771
SCN_C006,C006,R001,28,40,12,True,164.91,546,True,True,False,10060.61
SCN_C006,C006,R029,28,150,122,False,94.66,591,False,True,False,10052.613
SCN_C006,C006,R028,28,50,22,False,63.28,108,False,True,False,10025.664
SCN_C006,C006,R007,28,40,12,False,93.22,289,False,False,False,10035.005
SCN_C006,C006,R018,28,100,72,True,177.94,158,False,True,True,73.395
SCN_C007,C007,R003,56,120,64,True,152.81,196,False,True,True,63.476
SCN_C007,C007,R009,56,60,4,True,129.6,552,False,True,True,47.064
SCN_C007,C007,R004,56,100,44,True,93.19,136,True,False,False,10039.488
SCN_C007,C007,R030,56,80,24,True,175.62,503,False,True,True,66.073
SCN_C007,C007,R027,56,150,94,True,50.55,523,True,True,False,10032.838
SCN_C008,C008,R026,29,50,21,False,66.82,185,False,True,False,10026.907
SCN_C008,C008,R001,29,40,11,False,164.91,457,False,True,False,10060.282
SCN_C008,C008,R008,29,100,71,False,135.7,58,False,True,False,10058.261
SCN_C008,C008,R019,29,70,41,False,108.04,396,False,True,False,10044.756
SCN_C008,C008,R016,29,80,51,True,157.83,91,True,True,False,10063.072
SCN_C009,C009,R008,54,100,46,True,135.7,71,True,True,False,10054.537
SCN_C009,C009,R013,54,150,96,False,135.27,193,False,True,False,10062.13
SCN_C009,C009,R009,54,60,6,True,129.6,455,False,True,True,47.17
SCN_C009,C009,R005,54,100,46,False,176.24,92,False,True,False,10068.768
SCN_C009,C009,R011,54,100,46,True,77.08,86,False,False,False,10034.05
SCN_C010,C010,R021,33,70,37,False,112.46,128,False,True,False,10045.167
SCN_C010,C010,R008,33,100,67,False,135.7,119,False,True,False,10057.783
SCN_C010,C010,R006,33,50,17,False,120.83,325,False,True,False,10045.49
SCN_C010,C010,R003,33,120,87,False,152.81,441,False,True,False,10067.416
SCN_C010,C010,R004,33,100,67,False,93.19,580,False,True,False,10043.826
