resource_id,building_id,name,type,building_type,room_id,room_type,capacity,floor,projector,computers,air_conditioned,status,cost_per_hour,faculty_id,department,max_hours_per_day,student_id,year,course_id,student_count,requires_projector,requires_computer,course_level,equipment_id,equipment_type,replacement_cost,source_priority,data_quality_score,last_observed_at,fusion_status,capabilities
B01,B01,Academic Block A,building,academic,,,,,,,,,,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
B02,B02,Academic Block B,building,academic,,,,,,,,,,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
B03,B03,Science & Labs,building,laboratory,,,,,,,,,,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
B04,B04,Administration,building,admin,,,,,,,,,,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
B05,B05,Library & Innovation,building,academic,,,,,,,,,,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
ROOM_R001,B01,Room R001,room,,R001,classroom,40.0,2.0,True,False,True,available,164.91,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,"projector,air_conditioned"
ROOM_R002,B01,Room R002,room,,R002,classroom,120.0,1.0,True,True,True,available,118.57,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,"projector,computer,air_conditioned"
ROOM_R003,B05,Room R003,room,,R003,classroom,120.0,4.0,True,False,True,available,152.81,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,"projector,air_conditioned"
ROOM_R004,B04,Room R004,room,,R004,classroom,100.0,2.0,True,False,True,available,93.19,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,"projector,air_conditioned"
ROOM_R005,B03,Room R005,room,,R005,seminar,100.0,3.0,False,False,True,available,176.24,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,air_conditioned
ROOM_R006,B04,Room R006,room,,R006,seminar,50.0,3.0,False,False,False,available,120.83,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
ROOM_R007,B01,Room R007,room,,R007,classroom,40.0,3.0,False,False,False,available,93.22,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,
ROOM_R008,B04,Room R008,room,,R008,classroom,100.0,3.0,True,False,True,available,135.7,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,"projector,air_conditioned"
ROOM_R009,B01,Room R009,room,,R009,seminar,60.0,2.0,True,True,False,available,129.6,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,"projector,computer"
ROOM_R010,B05,Room R010,room,,R010,classroom,70.0,1.0,True,True,True,available,77.48,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,"projector,computer,air_conditioned"
ROOM_R011,B02,Room R011,room,,R011,classroom,100.0,4.0,True,False,True,available,77.08,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,"projector,air_conditioned"
ROOM_R012,B02,Room R012,room,,R012,seminar,80.0,4.0,False,True,True,available,179.66,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,"computer,air_conditioned"
ROOM_R013,B05,Room R013,room,,R013,classroom,150.0,1.0,False,True,True,available,135.27,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,"computer,air_conditioned"
ROOM_R014,B05,Room R014,room,,R014,lab,50.0,4.0,True,True,True,available,75.2,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,"projector,computer,air_conditioned"
ROOM_R015,B05,Room R015,room,,R015,classroom,40.0,3.0,True,True,True,available,62.14,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,"projector,computer,air_conditioned"
ROOM_R016,B01,Room R016,room,,R016,seminar,80.0,2.0,True,True,True,available,157.83,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,"projector,computer,air_conditioned"
ROOM_R017,B05,Room R017,room,,R017,classroom,70.0,3.0,True,False,False,available,114.25,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,projector
ROOM_R018,B01,Room R018,room,,R018,lab,100.0,1.0,True,True,True,available,177.94,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,"projector,computer,air_conditioned"
ROOM_R019,B03,Room R019,room,,R019,classroom,70.0,2.0,False,False,True,available,108.04,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,air_conditioned
ROOM_R020,B01,Room R020,room,,R020,classroom,60.0,4.0,False,True,True,available,124.92,,,,,,,,,,,,,,primary,1.0,2026-09-20T18:00:00,fused,"computer,air_conditioned"
