asset_tag,asset_category,location_building,asset_status,source_system
E001,smart_board,B04,available,Asset_Register
E002,smart_board,B04,available,Asset_Register
E003,lab_kit,B03,available,Asset_Register
E004,projector,B01,available,Asset_Register
E005,computer,B02,available,Asset_Register
E006,smart_board,B05,available,Asset_Register
E007,lab_kit,B02,available,Asset_Register
E008,lab_kit,B01,available,Asset_Register
E009,lab_kit,B05,available,Asset_Register
E010,computer,B02,available,Asset_Register
E011,projector,B05,available,Asset_Register
E012,computer,B03,available,Asset_Register
E013,smart_board,B04,available,Asset_Register
E014,router,B04,available,Asset_Register
E015,smart_board,B03,available,Asset_Register
E016,smart_board,B05,available,Asset_Register
E017,smart_board,B01,available,Asset_Register
E018,smart_board,B02,available,Asset_Register
E019,computer,B05,available,Asset_Register
E020,router,B02,available,Asset_Register
E021,computer,B02,available,Asset_Register
E022,projector,B03,maintenance,Asset_Register
E023,computer,B04,unavailable,Asset_Register
E024,lab_kit,B04,available,Asset_Register
E025,lab_kit,B04,available,Asset_Register
E026,computer,B03,available,Asset_Register
E027,smart_board,B02,available,Asset_Register
E028,lab_kit,B05,available,Asset_Register
E029,smart_board,B05,available,Asset_Register
E030,projector,B04,available,Asset_Register
E031,projector,B02,available,Asset_Register
E032,lab_kit,B03,available,Asset_Register
E033,lab_kit,B01,available,Asset_Register
E034,router,B03,available,Asset_Register
E035,lab_kit,B02,available,Asset_Register
E036,computer,B01,available,Asset_Register
E037,router,B05,available,Asset_Register
E038,smart_board,B03,available,Asset_Register
E039,router,B01,available,Asset_Register
E040,lab_kit,B01,unavailable,Asset_Register
E041,computer,B02,available,Asset_Register
E042,computer,B04,available,Asset_Register
E043,smart_board,B04,available,Asset_Register
E044,projector,B04,available,Asset_Register
E045,smart_board,B04,maintenance,Asset_Register
E046,projector,B01,available,Asset_Register
E047,smart_board,B01,available,Asset_Register
E048,lab_kit,B02,available,Asset_Register
E049,smart_board,B03,available,Asset_Register
E050,lab_kit,B03,maintenance,Asset_Register
E051,projector,B01,available,Asset_Register
E052,projector,B01,maintenance,Asset_Register
E053,lab_kit,B01,unavailable,Asset_Register
E054,computer,B03,available,Asset_Register
E055,smart_board,B01,available,Asset_Register
E056,smart_board,B02,available,Asset_Register
E057,computer,B04,available,Asset_Register
E058,projector,B02,available,Asset_Register
E059,computer,B05,available,Asset_Register
E060,smart_board,B01,unavailable,Asset_Register
E061,computer,B04,available,Asset_Register
E062,projector,B01,available,Asset_Register
E063,computer,B04,available,Asset_Register
E064,computer,B02,available,Asset_Register
E065,router,B02,available,Asset_Register
E066,computer,B04,available,Asset_Register
E067,computer,B01,maintenance,Asset_Register
E068,projector,B05,available,Asset_Register
E069,lab_kit,B03,available,Asset_Register
E070,projector,B02,available,Asset_Register
E071,router,B03,available,Asset_Register
E072,smart_board,B02,available,Asset_Register
E073,lab_kit,B03,available,Asset_Register
E074,computer,B04,available,Asset_Register
E075,router,B01,available,Asset_Register
E076,smart_board,B03,available,Asset_Register
E077,router,B04,available,Asset_Register
E078,lab_kit,B01,available,Asset_Register
E079,smart_board,B02,available,Asset_Register
E080,lab_kit,B05,available,Asset_Register
E081,lab_kit,B04,available,Asset_Register
E082,router,B05,available,Asset_Register
E083,smart_board,B01,available,Asset_Register
E084,computer,B05,available,Asset_Register
E085,projector,B03,available,Asset_Register
E086,computer,B01,available,Asset_Register
E087,projector,B04,available,Asset_Register
E088,computer,B01,available,Asset_Register
E089,projector,B02,available,Asset_Register
E090,router,B03,available,Asset_Register
E091,smart_board,B01,available,Asset_Register
E092,lab_kit,B03,available,Asset_Register
E093,router,B01,available,Asset_Register
E094,projector,B04,available,Asset_Register
E095,computer,B03,available,Asset_Register
E096,projector,B02,available,Asset_Register
E097,projector,B02,available,Asset_Register
E098,computer,B02,maintenance,Asset_Register
E099,router,B04,available,Asset_Register
E100,smart_board,B03,available,Asset_Register
