course_id,equipment_type,quantity,relationship
C002,projector,1,REQUIRES
C002,computer,1,REQUIRES
C004,projector,1,REQUIRES
C004,computer,1,REQUIRES
C005,computer,1,REQUIRES
C006,projector,1,REQUIRES
C007,projector,1,REQUIRES
C008,computer,1,REQUIRES
C009,projector,1,REQUIRES
C010,computer,1,REQUIRES
C011,projector,1,REQUIRES
C011,computer,1,REQUIRES
C012,projector,1,REQUIRES
C013,projector,1,REQUIRES
C014,projector,1,REQUIRES
C017,computer,1,REQUIRES
C018,projector,1,REQUIRES
C018,computer,1,REQUIRES
C020,projector,1,REQUIRES
C023,projector,1,REQUIRES
C024,computer,1,REQUIRES
C025,projector,1,REQUIRES
C026,projector,1,REQUIRES
C027,projector,1,REQUIRES
C028,projector,1,REQUIRES
C029,computer,1,REQUIRES
C031,projector,1,REQUIRES
C032,projector,1,REQUIRES
C033,projector,1,REQUIRES
C033,computer,1,REQUIRES
C034,projector,1,REQUIRES
C035,projector,1,REQUIRES
C035,computer,1,REQUIRES
C036,projector,1,REQUIRES
C037,projector,1,REQUIRES
C038,projector,1,REQUIRES
C039,projector,1,REQUIRES
C040,projector,1,REQUIRES
C040,computer,1,REQUIRES
C043,projector,1,REQUIRES
C044,projector,1,REQUIRES
C045,projector,1,REQUIRES
C045,computer,1,REQUIRES
C048,projector,1,REQUIRES
C050,computer,1,REQUIRES
C052,projector,1,REQUIRES
C054,projector,1,REQUIRES
C055,projector,1,REQUIRES
C057,computer,1,REQUIRES
C058,projector,1,REQUIRES
C060,computer,1,REQUIRES
C061,projector,1,REQUIRES
C062,computer,1,REQUIRES
C064,projector,1,REQUIRES
C064,computer,1,REQUIRES
C065,projector,1,REQUIRES
C066,projector,1,REQUIRES
C067,projector,1,REQUIRES
C067,computer,1,REQUIRES
C068,projector,1,REQUIRES
C068,computer,1,REQUIRES
C070,projector,1,REQUIRES
C071,projector,1,REQUIRES
C071,computer,1,REQUIRES
C073,projector,1,REQUIRES
C074,projector,1,REQUIRES
C075,projector,1,REQUIRES
C076,computer,1,REQUIRES
C077,projector,1,REQUIRES
C078,projector,1,REQUIRES
C079,projector,1,REQUIRES
C080,projector,1,REQUIRES
C081,projector,1,REQUIRES
C081,computer,1,REQUIRES
C082,projector,1,REQUIRES
C082,computer,1,REQUIRES
C083,projector,1,REQUIRES
C083,computer,1,REQUIRES
C084,computer,1,REQUIRES
C085,projector,1,REQUIRES
C085,computer,1,REQUIRES
C088,projector,1,REQUIRES
C089,projector,1,REQUIRES
C089,computer,1,REQUIRES
C090,projector,1,REQUIRES
C091,projector,1,REQUIRES
C091,computer,1,REQUIRES
C093,projector,1,REQUIRES
C093,computer,1,REQUIRES
C095,projector,1,REQUIRES
C095,computer,1,REQUIRES
C097,projector,1,REQUIRES
C098,projector,1,REQUIRES
C098,computer,1,REQUIRES
C099,projector,1,REQUIRES
C100,projector,1,REQUIRES
