room_no,room_name,building,max_capacity,space_type,hourly_cost,source_system,status
R001,Room R001,B01,40,classroom,164.91,ERP,active
R002,Room R002,B01,120,classroom,118.57,ERP,active
R003,Room R003,B05,120,classroom,152.81,ERP,active
R004,Room R004,B04,100,classroom,93.19,ERP,active
R005,Room R005,B03,100,seminar,176.24,ERP,active
R006,Room R006,B04,50,seminar,120.83,ERP,active
R007,Room R007,B01,40,classroom,93.22,ERP,active
R008,Room R008,B04,100,classroom,135.7,ERP,active
R009,Room R009,B01,60,seminar,129.6,ERP,active
R010,Room R010,B05,70,classroom,77.48,ERP,active
R011,Room R011,B02,100,classroom,77.08,ERP,maintenance
R012,Room R012,B02,80,seminar,179.66,ERP,active
R013,Room R013,B05,150,classroom,135.27,ERP,active
R014,Room R014,B05,50,lab,75.2,ERP,active
R015,Room R015,B05,40,classroom,62.14,ERP,active
R016,Room R016,B01,80,seminar,157.83,ERP,active
R017,Room R017,B05,70,classroom,114.25,ERP,active
R018,Room R018,B01,100,lab,177.94,ERP,active
R019,Room R019,B03,70,classroom,108.04,ERP,active
R020,Room R020,B01,60,classroom,124.92,ERP,active
R021,Room R021,B02,70,classroom,112.46,ERP,active
R022,Room R022,B01,70,classroom,70.83,ERP,active
R023,Room R023,B01,40,classroom,73.32,ERP,active
R024,Room R024,B04,70,seminar,74.02,ERP,active
R025,Room R025,B04,120,classroom,105.38,ERP,active
R026,Room R026,B01,50,classroom,66.82,ERP,active
R027,Room R027,B05,150,classroom,50.55,ERP,active
R028,Room R028,B05,50,classroom,63.28,ERP,active
R029,Room R029,B04,150,classroom,94.66,ERP,active
R030,Room R030,B04,80,lab,175.62,ERP,maintenance
