employee_code,employee_name,dept,daily_hour_limit,source_system
F001,Faculty 001,CE,5,HR
F002,Faculty 002,AI-DS,7,HR
F003,Faculty 003,CSE,5,HR
F004,Faculty 004,CE,8,HR
F005,Faculty 005,CE,6,HR
F006,Faculty 006,CSE,5,HR
F007,Faculty 007,MBA,6,HR
F008,Faculty 008,CSE,5,HR
F009,Faculty 009,AI-DS,6,HR
F010,Faculty 010,ME,5,HR
F011,Faculty 011,CE,6,HR
F012,Faculty 012,CE,5,HR
F013,Faculty 013,CE,5,HR
F014,Faculty 014,ME,7,HR
F015,Faculty 015,EEE,6,HR
F016,Faculty 016,AI-DS,7,HR
F017,Faculty 017,ECE,7,HR
F018,Faculty 018,ME,6,HR
F019,Faculty 019,AI-DS,7,HR
F020,Faculty 020,ME,7,HR
F021,Faculty 021,MBA,5,HR
F022,Faculty 022,CSE,8,HR
F023,Faculty 023,CE,5,HR
F024,Faculty 024,CSE,6,HR
F025,Faculty 025,CE,7,HR
F026,Faculty 026,ECE,7,HR
F027,Faculty 027,CSE,6,HR
F028,Faculty 028,EEE,7,HR
F029,Faculty 029,ECE,8,HR
F030,Faculty 030,MBA,7,HR
F031,Faculty 031,CE,5,HR
F032,Faculty 032,AI-DS,7,HR
F033,Faculty 033,AI-DS,5,HR
F034,Faculty 034,ECE,7,HR
F035,Faculty 035,CSE,5,HR
F036,Faculty 036,AI-DS,6,HR
F037,Faculty 037,EEE,7,HR
F038,Faculty 038,CE,6,HR
F039,Faculty 039,AI-DS,7,HR
F040,Faculty 040,ECE,7,HR
F041,Faculty 041,CE,8,HR
F042,Faculty 042,EEE,5,HR
F043,Faculty 043,CSE,8,HR
F044,Faculty 044,MBA,7,HR
F045,Faculty 045,CSE,5,HR
F046,Faculty 046,EEE,6,HR
F047,Faculty 047,AI-DS,7,HR
F048,Faculty 048,ECE,8,HR
F049,Faculty 049,CE,8,HR
F050,Faculty 050,CE,5,HR
