sensor_id,timestamp,room_id,occupancy_count,power_kw,temperature_c,source_system
SENS_R001,2026-08-22T06:00:00,R001,0,0.76,23.37,IoT
SENS_R002,2026-08-22T06:00:00,R002,14,1.13,23.88,IoT
SENS_R003,2026-08-22T06:00:00,R003,9,1.42,23.02,IoT
SENS_R004,2026-08-22T06:00:00,R004,18,1.39,24.43,IoT
SENS_R005,2026-08-22T06:00:00,R005,9,0.97,24.26,IoT
SENS_R006,2026-08-22T06:00:00,R006,17,1.98,23.99,IoT
SENS_R007,2026-08-22T06:00:00,R007,4,2.01,24.12,IoT
SENS_R008,2026-08-22T06:00:00,R008,12,1.19,22.95,IoT
SENS_R009,2026-08-22T06:00:00,R009,16,2.07,26.16,IoT
SENS_R010,2026-08-22T06:00:00,R010,0,0.46,23.07,IoT
SENS_R011,2026-08-22T06:00:00,R011,20,1.73,24.43,IoT
SENS_R012,2026-08-22T06:00:00,R012,3,0.64,24.43,IoT
SENS_R013,2026-08-22T06:00:00,R013,0,1.0,26.0,IoT
SENS_R014,2026-08-22T06:00:00,R014,7,1.94,24.03,IoT
SENS_R015,2026-08-22T06:00:00,R015,5,1.22,24.21,IoT
SENS_R016,2026-08-22T06:00:00,R016,8,1.3,23.36,IoT
SENS_R017,2026-08-22T06:00:00,R017,15,1.15,24.26,IoT
SENS_R018,2026-08-22T06:00:00,R018,14,0.93,23.71,IoT
SENS_R019,2026-08-22T06:00:00,R019,0,0.72,23.42,IoT
SENS_R020,2026-08-22T06:00:00,R020,7,1.35,24.57,IoT
SENS_R021,2026-08-22T06:00:00,R021,12,1.62,23.94,IoT
SENS_R022,2026-08-22T06:00:00,R022,21,1.72,25.16,IoT
SENS_R023,2026-08-22T06:00:00,R023,4,1.28,23.87,IoT
SENS_R024,2026-08-22T06:00:00,R024,4,1.09,24.11,IoT
SENS_R025,2026-08-22T06:00:00,R025,19,1.3,24.41,IoT
SENS_R026,2026-08-22T06:00:00,R026,4,1.11,23.02,IoT
SENS_R027,2026-08-22T06:00:00,R027,13,1.17,23.66,IoT
SENS_R028,2026-08-22T06:00:00,R028,13,1.58,25.44,IoT
SENS_R029,2026-08-22T06:00:00,R029,37,1.77,25.95,IoT
SENS_R030,2026-08-22T06:00:00,R030,12,1.17,21.9,IoT
SENS_R001,2026-08-22T07:00:00,R001,2,1.18,24.15,IoT
SENS_R002,2026-08-22T07:00:00,R002,22,1.73,26.13,IoT
SENS_R003,2026-08-22T07:00:00,R003,29,1.35,23.73,IoT
SENS_R004,2026-08-22T07:00:00,R004,14,1.65,25.17,IoT
SENS_R005,2026-08-22T07:00:00,R005,3,1.31,24.57,IoT
SENS_R006,2026-08-22T07:00:00,R006,3,1.09,24.64,IoT
SENS_R007,2026-08-22T07:00:00,R007,3,1.16,23.8,IoT
SENS_R008,2026-08-22T07:00:00,R008,7,1.13,23.75,IoT
SENS_R009,2026-08-22T07:00:00,R009,18,1.97,25.67,IoT
SENS_R010,2026-08-22T07:00:00,R010,22,2.31,25.7,IoT
SENS_R011,2026-08-22T07:00:00,R011,20,1.93,25.87,IoT
SENS_R012,2026-08-22T07:00:00,R012,11,1.52,23.82,IoT
SENS_R013,2026-08-22T07:00:00,R013,33,1.32,24.08,IoT
SENS_R014,2026-08-22T07:00:00,R014,4,0.75,24.99,IoT
SENS_R015,2026-08-22T07:00:00,R015,5,1.1,24.03,IoT
SENS_R016,2026-08-22T07:00:00,R016,23,1.54,23.46,IoT
SENS_R017,2026-08-22T07:00:00,R017,10,1.51,23.59,IoT
SENS_R018,2026-08-22T07:00:00,R018,19,1.27,24.58,IoT
SENS_R019,2026-08-22T07:00:00,R019,0,0.86,23.11,IoT
SENS_R020,2026-08-22T07:00:00,R020,18,1.8,24.4,IoT
SENS_R021,2026-08-22T07:00:00,R021,9,1.18,23.05,IoT
SENS_R022,2026-08-22T07:00:00,R022,12,1.22,24.83,IoT
SENS_R023,2026-08-22T07:00:00,R023,4,1.14,24.09,IoT
SENS_R024,2026-08-22T07:00:00,R024,0,1.25,24.27,IoT
SENS_R025,2026-08-22T07:00:00,R025,10,1.19,23.11,IoT
