course_code,course_name,enrolled_students,instructor,source_system,last_updated
C001,CSE Course 001,34,F035,LMS,2026-09-20T08:00:00
C002,CSE Course 002,72,F003,LMS,2026-09-20T08:00:00
C003,EEE Course 003,71,F023,LMS,2026-09-20T08:00:00
C004,ECE Course 004,112,F040,LMS,2026-09-20T08:00:00
C005,AI-DS Course 005,44,F012,LMS,2026-09-20T08:00:00
C006,ME Course 006,28,F043,LMS,2026-09-20T08:00:00
C007,MBA Course 007,56,F025,LMS,2026-09-20T08:00:00
C008,MBA Course 008,29,F023,LMS,2026-09-20T08:00:00
C009,EEE Course 009,54,F022,LMS,2026-09-20T08:00:00
C010,EEE Course 010,33,F044,LMS,2026-09-20T08:00:00
C011,MBA Course 011,93,F012,LMS,2026-09-20T08:00:00
C012,CE Course 012,58,F047,LMS,2026-09-20T08:00:00
C013,MBA Course 013,65,F025,LMS,2026-09-20T08:00:00
C014,CE Course 014,49,F034,LMS,2026-09-20T08:00:00
C015,MBA Course 015,93,F024,LMS,2026-09-20T08:00:00
C016,ME Course 016,33,F043,LMS,2026-09-20T08:00:00
C017,MBA Course 017,40,F043,LMS,2026-09-20T08:00:00
C018,ME Course 018,66,F013,LMS,2026-09-20T08:00:00
C019,ME Course 019,110,F040,LMS,2026-09-20T08:00:00
C020,CE Course 020,63,F019,LMS,2026-09-20T08:00:00
C021,ECE Course 021,80,F030,LMS,2026-09-20T08:00:00
C022,ME Course 022,81,F043,LMS,2026-09-20T08:00:00
C023,CSE Course 023,61,F006,LMS,2026-09-20T08:00:00
C024,MBA Course 024,55,F010,LMS,2026-09-20T08:00:00
C025,CSE Course 025,30,F030,LMS,2026-09-20T08:00:00
C026,ME Course 026,105,F032,LMS,2026-09-20T08:00:00
C027,ME Course 027,56,F050,LMS,2026-09-20T08:00:00
C028,ME Course 028,53,F004,LMS,2026-09-20T08:00:00
C029,CE Course 029,56,F030,LMS,2026-09-20T08:00:00
C030,AI-DS Course 030,92,F040,LMS,2026-09-20T08:00:00
C031,MBA Course 031,89,F011,LMS,2026-09-20T08:00:00
C032,AI-DS Course 032,85,F050,LMS,2026-09-20T08:00:00
C033,MBA Course 033,91,F005,LMS,2026-09-20T08:00:00
C034,AI-DS Course 034,61,F009,LMS,2026-09-20T08:00:00
C035,ECE Course 035,54,F005,LMS,2026-09-20T08:00:00
C036,ME Course 036,77,F014,LMS,2026-09-20T08:00:00
C037,MBA Course 037,78,F049,LMS,2026-09-20T08:00:00
C038,CE Course 038,73,F049,LMS,2026-09-20T08:00:00
C039,ME Course 039,78,F032,LMS,2026-09-20T08:00:00
C040,ECE Course 040,59,F043,LMS,2026-09-20T08:00:00
C041,AI-DS Course 041,76,F040,LMS,2026-09-20T08:00:00
C042,CE Course 042,28,F006,LMS,2026-09-20T08:00:00
C043,AI-DS Course 043,79,F017,LMS,2026-09-20T08:00:00
C044,ME Course 044,66,F018,LMS,2026-09-20T08:00:00
C045,MBA Course 045,78,F048,LMS,2026-09-20T08:00:00
C046,CE Course 046,31,F050,LMS,2026-09-20T08:00:00
C047,AI-DS Course 047,30,F002,LMS,2026-09-20T08:00:00
C048,CE Course 048,44,F037,LMS,2026-09-20T08:00:00
C049,ECE Course 049,84,F039,LMS,2026-09-20T08:00:00
C050,CE Course 050,39,F007,LMS,2026-09-20T08:00:00
C051,CE Course 051,28,F026,LMS,2026-09-20T08:00:00
C052,AI-DS Course 052,50,F007,LMS,2026-09-20T08:00:00
C053,AI-DS Course 053,63,F037,LMS,2026-09-20T08:00:00
C054,MBA Course 054,30,F005,LMS,2026-09-20T08:00:00
C055,CE Course 055,107,F007,LMS,2026-09-20T08:00:00
C056,ME Course 056,71,F028,LMS,2026-09-20T08:00:00
C057,ECE Course 057,91,F030,LMS,2026-09-20T08:00:00
C058,ME Course 058,100,F018,LMS,2026-09-20T08:00:00
C059,ME Course 059,56,F022,LMS,2026-09-20T08:00:00
C060,CSE Course 060,88,F023,LMS,2026-09-20T08:00:00
C061,MBA Course 061,58,F036,LMS,2026-09-20T08:00:00
C062,CSE Course 062,91,F032,LMS,2026-09-20T08:00:00
C063,CE Course 063,55,F029,LMS,2026-09-20T08:00:00
C064,MBA Course 064,27,F020,LMS,2026-09-20T08:00:00
C065,AI-DS Course 065,99,F028,LMS,2026-09-20T08:00:00
C066,AI-DS Course 066,95,F020,LMS,2026-09-20T08:00:00
C067,EEE Course 067,54,F048,LMS,2026-09-20T08:00:00
C068,CE Course 068,113,F018,LMS,2026-09-20T08:00:00
C069,AI-DS Course 069,100,F007,LMS,2026-09-20T08:00:00
C070,MBA Course 070,49,F001,LMS,2026-09-20T08:00:00
C071,AI-DS Course 071,93,F036,LMS,2026-09-20T08:00:00
C072,EEE Course 072,114,F007,LMS,2026-09-20T08:00:00
C073,MBA Course 073,26,F022,LMS,2026-09-20T08:00:00
C074,ECE Course 074,31,F005,LMS,2026-09-20T08:00:00
C075,ME Course 075,87,F010,LMS,2026-09-20T08:00:00
C076,ECE Course 076,97,F008,LMS,2026-09-20T08:00:00
C077,CE Course 077,78,F050,LMS,2026-09-20T08:00:00
C078,CE Course 078,73,F020,LMS,2026-09-20T08:00:00
C079,CE Course 079,104,F049,LMS,2026-09-20T08:00:00
C080,ECE Course 080,105,F016,LMS,2026-09-20T08:00:00
C081,ECE Course 081,95,F045,LMS,2026-09-20T08:00:00
C082,CE Course 082,85,F045,LMS,2026-09-20T08:00:00
C083,MBA Course 083,83,F041,LMS,2026-09-20T08:00:00
C084,CE Course 084,109,F035,LMS,2026-09-20T08:00:00
C085,ECE Course 085,107,F005,LMS,2026-09-20T08:00:00
C086,CSE Course 086,46,F029,LMS,2026-09-20T08:00:00
C087,CSE Course 087,84,F033,LMS,2026-09-20T08:00:00
C088,CE Course 088,88,F048,LMS,2026-09-20T08:00:00
C089,EEE Course 089,102,F049,LMS,2026-09-20T08:00:00
C090,AI-DS Course 090,59,F031,LMS,2026-09-20T08:00:00
