student_id,course_id,relationship
S0428,C001,ENROLLED_IN
S0256,C001,ENROLLED_IN
S0773,C001,ENROLLED_IN
S0326,C001,ENROLLED_IN
S0682,C001,ENROLLED_IN
S0628,C001,ENROLLED_IN
S0218,C001,ENROLLED_IN
S0176,C001,ENROLLED_IN
S0018,C001,ENROLLED_IN
S0286,C001,ENROLLED_IN
S0008,C001,ENROLLED_IN
S0998,C001,ENROLLED_IN
S0267,C001,ENROLLED_IN
S0987,C001,ENROLLED_IN
S0185,C001,ENROLLED_IN
S0681,C001,ENROLLED_IN
S0669,C001,ENROLLED_IN
S0269,C001,ENROLLED_IN
S0866,C001,ENROLLED_IN
S0621,C001,ENROLLED_IN
S0690,C001,ENROLLED_IN
S0109,C001,ENROLLED_IN
S0139,C001,ENROLLED_IN
S0389,C001,ENROLLED_IN
S0385,C001,ENROLLED_IN
S0397,C001,ENROLLED_IN
S0664,C001,ENROLLED_IN
S0847,C001,ENROLLED_IN
S0667,C001,ENROLLED_IN
S0909,C001,ENROLLED_IN
S0602,C002,ENROLLED_IN
S0185,C002,ENROLLED_IN
S0394,C002,ENROLLED_IN
S0924,C002,ENROLLED_IN
S0367,C002,ENROLLED_IN
S0931,C002,ENROLLED_IN
S0719,C002,ENROLLED_IN
S0172,C002,ENROLLED_IN
S0984,C002,ENROLLED_IN
S0037,C002,ENROLLED_IN
S0671,C002,ENROLLED_IN
S0045,C002,ENROLLED_IN
S0359,C002,ENROLLED_IN
S0710,C002,ENROLLED_IN
S0456,C002,ENROLLED_IN
S0841,C002,ENROLLED_IN
S0161,C002,ENROLLED_IN
S0341,C002,ENROLLED_IN
S0505,C002,ENROLLED_IN
S0224,C002,ENROLLED_IN
S0411,C002,ENROLLED_IN
S0259,C002,ENROLLED_IN
S0042,C002,ENROLLED_IN
S0059,C002,ENROLLED_IN
S0722,C002,ENROLLED_IN
S0136,C002,ENROLLED_IN
S0717,C002,ENROLLED_IN
S0190,C002,ENROLLED_IN
S0881,C002,ENROLLED_IN
S0567,C002,ENROLLED_IN
S0417,C002,ENROLLED_IN
S0123,C002,ENROLLED_IN
S0951,C002,ENROLLED_IN
S0436,C002,ENROLLED_IN
S0956,C002,ENROLLED_IN
S0737,C002,ENROLLED_IN
S0234,C002,ENROLLED_IN
S0247,C002,ENROLLED_IN
S0421,C002,ENROLLED_IN
S0996,C002,ENROLLED_IN
S0647,C002,ENROLLED_IN
S0588,C002,ENROLLED_IN
S0612,C002,ENROLLED_IN
S0510,C002,ENROLLED_IN
S0525,C002,ENROLLED_IN
S0217,C002,ENROLLED_IN
S0392,C002,ENROLLED_IN
S0053,C002,ENROLLED_IN
S0909,C002,ENROLLED_IN
S0713,C002,ENROLLED_IN
S0107,C002,ENROLLED_IN
S0893,C002,ENROLLED_IN
S0506,C002,ENROLLED_IN
S0072,C002,ENROLLED_IN
S0892,C002,ENROLLED_IN
S0101,C002,ENROLLED_IN
S0846,C002,ENROLLED_IN
S0197,C002,ENROLLED_IN
S0363,C002,ENROLLED_IN
S0552,C002,ENROLLED_IN
S0393,C002,ENROLLED_IN
S0537,C002,ENROLLED_IN
S0221,C002,ENROLLED_IN
S0186,C002,ENROLLED_IN
S0183,C003,ENROLLED_IN
S0699,C003,ENROLLED_IN
S0015,C003,ENROLLED_IN
S0581,C003,ENROLLED_IN
S0670,C003,ENROLLED_IN
S0689,C003,ENROLLED_IN
S0282,C003,ENROLLED_IN
S0382,C003,ENROLLED_IN
S0989,C003,ENROLLED_IN
S0202,C003,ENROLLED_IN
S0406,C003,ENROLLED_IN
S0318,C003,ENROLLED_IN
S0480,C003,ENROLLED_IN
S0448,C003,ENROLLED_IN
S0275,C003,ENROLLED_IN
S0917,C003,ENROLLED_IN
S0545,C003,ENROLLED_IN
S0836,C003,ENROLLED_IN
S0258,C003,ENROLLED_IN
S0058,C003,ENROLLED_IN
S0116,C003,ENROLLED_IN
S0971,C003,ENROLLED_IN
S0023,C003,ENROLLED_IN
S0048,C003,ENROLLED_IN
S0367,C003,ENROLLED_IN
S0165,C003,ENROLLED_IN
S0161,C003,ENROLLED_IN
S0050,C003,ENROLLED_IN
S0902,C003,ENROLLED_IN
S0650,C003,ENROLLED_IN
S0172,C003,ENROLLED_IN
S0507,C003,ENROLLED_IN
S0737,C003,ENROLLED_IN
S0901,C003,ENROLLED_IN
S0100,C003,ENROLLED_IN
S0291,C003,ENROLLED_IN
S0771,C003,ENROLLED_IN
S0990,C003,ENROLLED_IN
S0316,C003,ENROLLED_IN
S0658,C003,ENROLLED_IN
S0002,C003,ENROLLED_IN
S0182,C003,ENROLLED_IN
S0213,C003,ENROLLED_IN
S0492,C003,ENROLLED_IN
S0374,C003,ENROLLED_IN
S0120,C003,ENROLLED_IN
S0866,C003,ENROLLED_IN
S0858,C003,ENROLLED_IN
S0432,C003,ENROLLED_IN
S0898,C003,ENROLLED_IN
S0257,C003,ENROLLED_IN
S0176,C003,ENROLLED_IN
S0854,C003,ENROLLED_IN
S0776,C003,ENROLLED_IN
S0546,C003,ENROLLED_IN
S0767,C003,ENROLLED_IN
S0657,C003,ENROLLED_IN
S0631,C003,ENROLLED_IN
S0401,C003,ENROLLED_IN
S0114,C003,ENROLLED_IN
S0949,C003,ENROLLED_IN
S0879,C003,ENROLLED_IN
S0462,C003,ENROLLED_IN
S0742,C004,ENROLLED_IN
S0536,C004,ENROLLED_IN
S0605,C004,ENROLLED_IN
S0750,C004,ENROLLED_IN
S0423,C004,ENROLLED_IN
S0829,C004,ENROLLED_IN
S0435,C004,ENROLLED_IN
S0558,C004,ENROLLED_IN
S0869,C004,ENROLLED_IN
S0131,C004,ENROLLED_IN
S0286,C004,ENROLLED_IN
S0859,C004,ENROLLED_IN
S0530,C004,ENROLLED_IN
S0833,C004,ENROLLED_IN
S0390,C004,ENROLLED_IN
S0769,C004,ENROLLED_IN
S0011,C004,ENROLLED_IN
S0349,C004,ENROLLED_IN
S0096,C004,ENROLLED_IN
S0843,C004,ENROLLED_IN
S0463,C004,ENROLLED_IN
S0945,C004,ENROLLED_IN
S0861,C004,ENROLLED_IN
S0031,C004,ENROLLED_IN
S0239,C004,ENROLLED_IN
S0127,C004,ENROLLED_IN
S0497,C004,ENROLLED_IN
S0906,C004,ENROLLED_IN
S0728,C004,ENROLLED_IN
S0563,C004,ENROLLED_IN
S0080,C004,ENROLLED_IN
S0261,C004,ENROLLED_IN
S0003,C004,ENROLLED_IN
S0949,C004,ENROLLED_IN
S0913,C004,ENROLLED_IN
S0315,C004,ENROLLED_IN
S0490,C004,ENROLLED_IN
S0428,C004,ENROLLED_IN
S0061,C004,ENROLLED_IN
