schedule_id,course_id,faculty_id,room_id,date,start_time,end_time,status,source_system
SCH_0001,C089,F049,R003,2026-09-28,09:00,10:00,scheduled,LMS
SCH_0002,C004,F040,R018,2026-09-26,10:00,11:00,scheduled,LMS
SCH_0003,C069,F007,R001,2026-09-29,16:00,17:00,scheduled,LMS
SCH_0004,C063,F029,R009,2026-10-04,15:00,16:00,scheduled,LMS
SCH_0005,C039,F032,R010,2026-10-04,09:00,10:00,scheduled,LMS
SCH_0006,C045,F048,R021,2026-09-27,17:00,18:00,scheduled,LMS
SCH_0007,C053,F037,R029,2026-09-30,16:00,17:00,scheduled,LMS
SCH_0008,C031,F011,R013,2026-09-25,15:00,16:00,scheduled,LMS
SCH_0009,C014,F034,R011,2026-09-22,10:00,11:00,scheduled,LMS
SCH_0010,C052,F007,R006,2026-09-26,09:00,10:00,scheduled,LMS
SCH_0011,C080,F016,R025,2026-09-26,11:00,12:00,scheduled,LMS
SCH_0012,C091,F041,R024,2026-10-04,15:00,16:00,scheduled,LMS
SCH_0013,C016,F043,R020,2026-09-27,17:00,18:00,scheduled,LMS
SCH_0014,C043,F017,R002,2026-09-21,14:00,15:00,scheduled,LMS
SCH_0015,C071,F036,R005,2026-10-04,11:00,12:00,scheduled,LMS
SCH_0016,C004,F040,R013,2026-09-27,14:00,15:00,scheduled,LMS
SCH_0017,C069,F007,R022,2026-09-27,17:00,18:00,scheduled,LMS
SCH_0018,C076,F008,R018,2026-09-30,15:00,16:00,scheduled,LMS
SCH_0019,C066,F020,R003,2026-09-21,09:00,10:00,scheduled,LMS
SCH_0020,C080,F016,R030,2026-10-03,14:00,15:00,scheduled,LMS
SCH_0021,C023,F006,R006,2026-10-02,16:00,17:00,scheduled,LMS
SCH_0022,C091,F041,R023,2026-09-27,09:00,10:00,scheduled,LMS
SCH_0023,C051,F026,R026,2026-10-02,16:00,17:00,scheduled,LMS
SCH_0024,C035,F005,R016,2026-09-24,11:00,12:00,scheduled,LMS
SCH_0025,C045,F048,R006,2026-09-29,15:00,16:00,scheduled,LMS
SCH_0026,C078,F020,R021,2026-09-21,14:00,15:00,scheduled,LMS
SCH_0027,C011,F012,R012,2026-09-22,16:00,17:00,scheduled,LMS
SCH_0028,C049,F039,R025,2026-09-23,17:00,18:00,scheduled,LMS
SCH_0029,C087,F033,R009,2026-09-26,09:00,10:00,scheduled,LMS
SCH_0030,C047,F002,R027,2026-10-04,11:00,12:00,scheduled,LMS
SCH_0031,C015,F024,R028,2026-09-21,11:00,12:00,scheduled,LMS
SCH_0032,C065,F028,R030,2026-09-23,15:00,16:00,scheduled,LMS
SCH_0033,C095,F033,R004,2026-09-23,10:00,11:00,scheduled,LMS
SCH_0034,C069,F007,R021,2026-09-23,12:00,13:00,scheduled,LMS
SCH_0035,C048,F037,R028,2026-09-29,09:00,10:00,scheduled,LMS
SCH_0036,C091,F041,R029,2026-09-23,14:00,15:00,scheduled,LMS
SCH_0037,C080,F016,R003,2026-09-25,16:00,17:00,scheduled,LMS
SCH_0038,C090,F031,R019,2026-10-04,11:00,12:00,scheduled,LMS
SCH_0039,C087,F033,R026,2026-09-28,16:00,17:00,scheduled,LMS
SCH_0040,C095,F033,R007,2026-09-24,15:00,16:00,scheduled,LMS
SCH_0041,C035,F005,R007,2026-10-02,10:00,11:00,scheduled,LMS
SCH_0042,C027,F050,R009,2026-10-04,14:00,15:00,scheduled,LMS
SCH_0043,C004,F040,R017,2026-09-29,17:00,18:00,scheduled,LMS
SCH_0044,C015,F024,R007,2026-09-25,17:00,18:00,scheduled,LMS
SCH_0045,C049,F039,R016,2026-10-01,10:00,11:00,scheduled,LMS
SCH_0046,C059,F022,R027,2026-09-26,10:00,11:00,scheduled,LMS
SCH_0047,C067,F048,R005,2026-09-23,15:00,16:00,scheduled,LMS
SCH_0048,C024,F010,R028,2026-09-25,15:00,16:00,scheduled,LMS
SCH_0049,C053,F037,R004,2026-10-03,12:00,13:00,scheduled,LMS
SCH_0050,C096,F004,R016,2026-10-02,15:00,16:00,scheduled,LMS
SCH_0051,C018,F013,R008,2026-09-24,12:00,13:00,scheduled,LMS
SCH_0052,C090,F031,R004,2026-09-26,14:00,15:00,scheduled,LMS
SCH_0053,C054,F005,R014,2026-09-30,10:00,11:00,scheduled,LMS
SCH_0054,C082,F045,R027,2026-09-27,15:00,16:00,scheduled,LMS
SCH_0055,C052,F007,R017,2026-09-24,15:00,16:00,scheduled,LMS
SCH_0056,C012,F047,R029,2026-10-03,15:00,16:00,scheduled,LMS
SCH_0057,C088,F048,R028,2026-09-23,11:00,12:00,scheduled,LMS
SCH_0058,C073,F022,R006,2026-09-29,17:00,18:00,scheduled,LMS
SCH_0059,C015,F024,R027,2026-10-01,15:00,16:00,scheduled,LMS
SCH_0060,C003,F023,R015,2026-09-22,11:00,12:00,scheduled,LMS
SCH_0061,C071,F036,R015,2026-09-21,09:00,10:00,scheduled,LMS
SCH_0062,C069,F007,R020,2026-09-22,10:00,11:00,scheduled,LMS
SCH_0063,C075,F010,R014,2026-09-28,14:00,15:00,scheduled,LMS
SCH_0064,C078,F020,R021,2026-10-03,17:00,18:00,scheduled,LMS
SCH_0065,C082,F045,R009,2026-09-24,10:00,11:00,scheduled,LMS
SCH_0066,C021,F030,R023,2026-09-22,10:00,11:00,scheduled,LMS
SCH_0067,C021,F030,R006,2026-09-25,16:00,17:00,scheduled,LMS
SCH_0068,C037,F049,R014,2026-09-24,12:00,13:00,scheduled,LMS
SCH_0069,C072,F007,R026,2026-09-27,09:00,10:00,scheduled,LMS
SCH_0070,C035,F005,R016,2026-09-30,10:00,11:00,scheduled,LMS
SCH_0071,C067,F048,R016,2026-10-04,09:00,10:00,scheduled,LMS
SCH_0072,C073,F022,R010,2026-09-26,09:00,10:00,scheduled,LMS
SCH_0073,C049,F039,R027,2026-09-25,15:00,16:00,scheduled,LMS
SCH_0074,C013,F025,R013,2026-09-30,16:00,17:00,scheduled,LMS
SCH_0075,C067,F048,R011,2026-10-01,10:00,11:00,scheduled,LMS
SCH_0076,C024,F010,R006,2026-09-30,17:00,18:00,scheduled,LMS
SCH_0077,C076,F008,R006,2026-10-01,14:00,15:00,scheduled,LMS
SCH_0078,C002,F003,R006,2026-09-21,09:00,10:00,scheduled,LMS
SCH_0079,C092,F022,R004,2026-10-04,15:00,16:00,scheduled,LMS
SCH_0080,C065,F028,R004,2026-09-30,17:00,18:00,scheduled,LMS
SCH_0081,C094,F030,R011,2026-09-26,12:00,13:00,scheduled,LMS
SCH_0082,C063,F029,R024,2026-09-25,14:00,15:00,scheduled,LMS
SCH_0083,C041,F040,R020,2026-09-26,14:00,15:00,scheduled,LMS
SCH_0084,C023,F006,R019,2026-09-23,10:00,11:00,scheduled,LMS
SCH_0085,C088,F048,R008,2026-09-21,14:00,15:00,scheduled,LMS
SCH_0086,C076,F008,R026,2026-09-23,09:00,10:00,scheduled,LMS
SCH_0087,C080,F016,R014,2026-10-01,14:00,15:00,scheduled,LMS
SCH_0088,C069,F007,R008,2026-10-04,10:00,11:00,scheduled,LMS
SCH_0089,C006,F043,R030,2026-09-29,11:00,12:00,scheduled,LMS
SCH_0090,C080,F016,R019,2026-09-29,16:00,17:00,scheduled,LMS
SCH_0091,C074,F005,R024,2026-09-26,14:00,15:00,scheduled,LMS
SCH_0092,C065,F028,R005,2026-09-30,09:00,10:00,scheduled,LMS
SCH_0093,C084,F035,R021,2026-10-04,17:00,18:00,scheduled,LMS
SCH_0094,C068,F018,R028,2026-09-29,17:00,18:00,scheduled,LMS
SCH_0095,C066,F020,R020,2026-09-23,15:00,16:00,scheduled,LMS
SCH_0096,C072,F007,R024,2026-09-26,09:00,10:00,scheduled,LMS
SCH_0097,C079,F049,R019,2026-10-02,15:00,16:00,scheduled,LMS
SCH_0098,C021,F030,R011,2026-09-25,10:00,11:00,scheduled,LMS
SCH_0099,C002,F003,R004,2026-09-26,10:00,11:00,scheduled,LMS
SCH_0100,C022,F043,R028,2026-09-30,09:00,10:00,scheduled,LMS
SCH_0101,C019,F040,R026,2026-09-30,12:00,13:00,scheduled,LMS
SCH_0102,C018,F013,R017,2026-09-28,15:00,16:00,scheduled,LMS
SCH_0103,C097,F049,R009,2026-10-04,17:00,18:00,scheduled,LMS
SCH_0104,C020,F019,R013,2026-10-03,17:00,18:00,scheduled,LMS
SCH_0105,C069,F007,R018,2026-09-21,17:00,18:00,scheduled,LMS
SCH_0106,C016,F043,R013,2026-10-04,16:00,17:00,scheduled,LMS
SCH_0107,C096,F004,R002,2026-10-01,09:00,10:00,scheduled,LMS
SCH_0108,C004,F040,R027,2026-10-04,16:00,17:00,scheduled,LMS
SCH_0109,C024,F010,R015,2026-09-22,16:00,17:00,scheduled,LMS
SCH_0110,C023,F006,R020,2026-09-30,14:00,15:00,scheduled,LMS
SCH_0111,C099,F046,R030,2026-09-22,12:00,13:00,scheduled,LMS
SCH_0112,C057,F030,R001,2026-10-03,15:00,16:00,scheduled,LMS
SCH_0113,C038,F049,R028,2026-10-04,10:00,11:00,scheduled,LMS
SCH_0114,C061,F036,R025,2026-09-23,14:00,15:00,scheduled,LMS
SCH_0115,C053,F037,R011,2026-10-03,12:00,13:00,scheduled,LMS
SCH_0116,C047,F002,R003,2026-09-27,15:00,16:00,scheduled,LMS
SCH_0117,C026,F032,R015,2026-10-03,15:00,16:00,scheduled,LMS
SCH_0118,C066,F020,R009,2026-09-30,15:00,16:00,scheduled,LMS
SCH_0119,C081,F045,R029,2026-09-29,11:00,12:00,scheduled,LMS
SCH_0120,C088,F048,R014,2026-09-28,17:00,18:00,scheduled,LMS
SCH_0121,C082,F045,R006,2026-10-02,09:00,10:00,scheduled,LMS
SCH_0122,C053,F037,R025,2026-10-02,16:00,17:00,scheduled,LMS
SCH_0123,C037,F049,R007,2026-09-30,11:00,12:00,scheduled,LMS
SCH_0124,C052,F007,R012,2026-09-23,16:00,17:00,scheduled,LMS
SCH_0125,C082,F045,R026,2026-09-30,10:00,11:00,scheduled,LMS
SCH_0126,C100,F015,R030,2026-10-04,15:00,16:00,scheduled,LMS
SCH_0127,C050,F007,R008,2026-09-27,14:00,15:00,scheduled,LMS
SCH_0128,C058,F018,R008,2026-09-30,09:00,10:00,scheduled,LMS
SCH_0129,C082,F045,R007,2026-09-27,09:00,10:00,scheduled,LMS
SCH_0130,C052,F007,R021,2026-10-04,11:00,12:00,scheduled,LMS
SCH_0131,C079,F049,R020,2026-09-28,16:00,17:00,scheduled,LMS
SCH_0132,C020,F019,R009,2026-09-22,09:00,10:00,scheduled,LMS
SCH_0133,C048,F037,R018,2026-09-21,11:00,12:00,scheduled,LMS
SCH_0134,C012,F047,R026,2026-10-02,12:00,13:00,scheduled,LMS
SCH_0135,C074,F005,R025,2026-09-26,10:00,11:00,scheduled,LMS
SCH_0136,C043,F017,R011,2026-10-01,11:00,12:00,scheduled,LMS
SCH_0137,C097,F049,R011,2026-09-21,14:00,15:00,scheduled,LMS
SCH_0138,C086,F029,R022,2026-09-26,16:00,17:00,scheduled,LMS
SCH_0139,C039,F032,R001,2026-09-30,10:00,11:00,scheduled,LMS
SCH_0140,C050,F007,R008,2026-09-26,17:00,18:00,scheduled,LMS
SCH_0141,C090,F031,R017,2026-09-24,14:00,15:00,scheduled,LMS
SCH_0142,C020,F019,R028,2026-09-30,14:00,15:00,scheduled,LMS
SCH_0143,C046,F050,R015,2026-09-24,15:00,16:00,scheduled,LMS
SCH_0144,C097,F049,R019,2026-10-01,16:00,17:00,scheduled,LMS
SCH_0145,C091,F041,R004,2026-09-24,12:00,13:00,scheduled,LMS
SCH_0146,C085,F005,R015,2026-09-28,15:00,16:00,scheduled,LMS
SCH_0147,C057,F030,R019,2026-09-30,14:00,15:00,scheduled,LMS
SCH_0148,C059,F022,R007,2026-09-30,10:00,11:00,scheduled,LMS
SCH_0149,C024,F010,R026,2026-09-24,17:00,18:00,scheduled,LMS
SCH_0150,C038,F049,R016,2026-10-02,17:00,18:00,scheduled,LMS
SCH_0151,C008,F023,R003,2026-10-04,09:00,10:00,scheduled,LMS
SCH_0152,C044,F018,R030,2026-09-22,10:00,11:00,scheduled,LMS
SCH_0153,C072,F007,R022,2026-10-01,10:00,11:00,scheduled,LMS
SCH_0154,C055,F007,R013,2026-09-22,12:00,13:00,scheduled,LMS
SCH_0155,C007,F025,R015,2026-09-24,17:00,18:00,scheduled,LMS
SCH_0156,C003,F023,R015,2026-09-30,15:00,16:00,scheduled,LMS
SCH_0157,C093,F045,R007,2026-10-01,11:00,12:00,scheduled,LMS
SCH_0158,C083,F041,R007,2026-09-24,12:00,13:00,scheduled,LMS
SCH_0159,C098,F029,R019,2026-09-22,14:00,15:00,scheduled,LMS
SCH_0160,C045,F048,R003,2026-09-24,11:00,12:00,scheduled,LMS
SCH_0161,C080,F016,R024,2026-09-25,10:00,11:00,scheduled,LMS
SCH_0162,C040,F043,R008,2026-10-01,17:00,18:00,scheduled,LMS
SCH_0163,C011,F012,R017,2026-09-21,17:00,18:00,scheduled,LMS
SCH_0164,C089,F049,R001,2026-10-03,10:00,11:00,scheduled,LMS
SCH_0165,C034,F009,R017,2026-09-23,17:00,18:00,scheduled,LMS
SCH_0166,C013,F025,R028,2026-09-29,17:00,18:00,scheduled,LMS
SCH_0167,C076,F008,R013,2026-10-03,16:00,17:00,scheduled,LMS
SCH_0168,C027,F050,R025,2026-09-24,12:00,13:00,scheduled,LMS
SCH_0169,C010,F044,R014,2026-10-02,17:00,18:00,scheduled,LMS
SCH_0170,C034,F009,R014,2026-10-03,09:00,10:00,scheduled,LMS
SCH_0171,C022,F043,R018,2026-10-04,10:00,11:00,scheduled,LMS
SCH_0172,C066,F020,R010,2026-09-24,11:00,12:00,scheduled,LMS
SCH_0173,C067,F048,R020,2026-09-23,09:00,10:00,scheduled,LMS
SCH_0174,C040,F043,R017,2026-10-04,11:00,12:00,scheduled,LMS
SCH_0175,C055,F007,R013,2026-09-23,09:00,10:00,scheduled,LMS
